,type,vm_pu,gen_p_pu,gen_q_pu,load_p_pu,load_q_pu,sgen_p_pu,sgen_q_pu,slack_weight
21,2,1.0,16.17047591606663,,0.0,0.0,5.9488073998892075,0.0,0
22,2,1.0,7.762728144030355,,10.84643064884483,3.56504935220016,2.058040979888782,0.0,0
23,2,1.0,0.33311927884755177,,1.2401313483381167,0.407611462532771,0.0,0.0,0
24,2,1.0,0.11923678924621042,,1.9515430326804295,0.641441175414612,0.0,0.0,0
25,2,1.0,0.24484915014417008,,1.7411804853633739,0.5722983497865592,1.7627679198892077,0.0,0
26,2,1.0,0.11798436197548016,,7.73886792636805,2.543642879475687,0.6286226398887766,0.0,0
27,3,,0.0,,0.0,0.0,0.0,0.0,0
28,2,1.0,18.59210767505541,,1.936106325552373,0.6363673751453185,0.0,0.0,0
29,2,1.0,6.651344163096444,,13.682450935530518,4.497204142398548,0.6755805197784153,0.0,0
30,2,1.0,0.15612894952343898,,3.2147587702113856,1.056640109752832,0.0,0.0,0
31,3,,0.0,,1.4069001070521359,0.46242570276247813,0.0,0.0,0
32,3,,0.0,,13.140536926851464,4.319085621371983,0.36525779988920776,0.0,0
