p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw,p_mw
595.910924,124.275321,110.450585,95.907905,113.7353,143.92582,125.099033,220.326711,43.727394,59.41514,267.020201,265.4277,192.599195,536.65551,59.231416,167.7862,174.1944,14.656568,32.973232,9.820093,129.048768,24.873156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595.555815,122.959411,108.278481,93.710425,103.564277,155.9248,113.260844,187.982876,43.371389,60.431834,248.418252,259.392185,200.820718,460.407837,47.580118,184.653658,168.009809,16.689409,31.2869,8.543148,120.614505,21.192712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589.620722,124.243518,109.272913,94.4513,102.846745,157.098271,109.370709,179.583931,54.881762,60.358686,245.848641,276.881712,246.593945,444.265109,40.030142,186.422131,163.831293,15.21081,28.043696,6.929151,139.584277,21.980667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584.446513,127.856763,116.638192,102.658287,107.094345,153.069842,105.976739,176.645992,69.14077,60.4797,241.900482,301.459838,282.816771,462.387713,41.24764,180.480982,148.968032,14.205359,28.142016,7.175058,172.764442,25.062388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583.722542,124.801875,117.212575,105.141954,113.059534,149.617599,115.298863,195.709942,77.956702,60.34867,275.345994,307.835256,300.442143,504.03888,48.152726,175.309407,159.705033,14.376835,29.565229,9.361819,197.70723,29.207092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592.68592,117.237003,112.083077,99.434592,117.732772,154.624763,129.083296,231.394025,80.364755,60.482301,294.58804,297.986492,303.165941,561.768323,57.15035,182.757623,178.927077,16.233211,33.687221,11.477347,205.741695,31.630448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595.846304,124.082303,116.659422,104.172747,118.834125,164.644915,137.991754,258.544979,79.492105,58.015566,299.259404,306.470887,300.641562,594.988962,69.821397,198.648204,186.76927,18.899854,37.423132,12.303691,203.703091,31.844868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594.026571,123.743975,116.460417,104.174064,118.315971,165.895518,135.148234,247.01572,79.680159,56.143205,299.859128,306.110008,301.206358,572.693199,68.838701,200.665545,186.792262,19.1029,36.822993,12.33501,203.517732,31.439379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581.166095,125.707414,117.571513,105.249613,118.835896,167.004722,136.85143,254.101376,76.941887,55.806349,299.713065,308.656485,293.206278,586.74564,72.221239,203.040598,186.724957,18.606572,37.606893,12.324791,199.582497,31.868829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582.391791,123.234719,115.994237,103.967319,118.599241,167.017956,135.257355,248.693077,76.503009,54.727011,299.157992,308.102491,297.471651,578.004754,66.6981,203.098559,186.389745,18.702413,36.52055,11.740794,197.737816,31.424397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587.128337,117.727754,111.803165,99.966913,118.786995,165.59089,136.510894,252.460948,77.742873,57.257417,299.692649,305.435598,299.886812,584.554597,65.849469,200.142061,186.739528,18.088986,36.372233,11.137333,200.659504,31.78611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592.154504,113.212794,108.317271,97.080249,118.815437,164.682759,138.310447,258.549311,78.416208,58.07049,297.215966,302.834316,301.556422,593.771377,66.086641,198.641316,186.583244,18.224573,37.021463,11.095914,202.04559,32.103114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593.716676,104.511557,101.39099,91.286679,118.361231,164.884703,139.95713,264.339716,79.814068,57.841652,289.639756,295.618151,303.452545,602.400286,67.960951,199.062037,184.76862,18.56228,37.856853,11.20768,205.090093,32.62859,1.376045,2.135465,1.225925,0.943809,5.552129,2.327742,1.294556,2.105696,3.596432,11.076283,7.448382,1.405548
595.623351,84.872938,84.414653,74.880293,116.571032,166.281462,141.745873,271.577037,80.914998,55.755576,261.404805,274.967895,304.069297,612.610924,71.992989,201.815267,175.741112,19.628077,39.585948,11.784394,207.897518,33.120838,4.860454,7.745114,5.924911,2.539259,11.129933,4.813589,3.118578,5.268846,8.581067000000001,14.883677,15.898947,4.278695
594.912896,68.527509,69.388874,57.37122,100.615483,167.426028,141.587465,273.288505,81.220375,44.863742,188.81667,249.738956,303.737379,623.158415,77.181191,205.977026,146.565858,21.13563,41.97689,12.197375,209.014414,33.555738,5.727893,8.954805,10.508235,2.570467,10.507245,3.557919,2.867115,4.131117,7.140665,13.860958,16.748262,4.184649
589.802606,81.748332,80.457051,66.55289,92.435519,160.880305,139.225736,265.221109,81.2718,28.839932,168.642874,263.11977,304.036482,619.839472,79.062493,202.350805,115.649669,21.60865,42.309181,12.42213,209.088597,33.536408,7.360897,12.989697,24.211574,2.612995,8.560599,2.131186,3.754144,2.644843,5.340198,10.430123,20.048524,5.004268
539.69119,96.080649,94.285109,79.737906,98.467074,140.021469,140.990422,271.285148,81.116699,14.309874,223.908372,273.945523,303.968464,622.789477,78.99436,184.379322,133.669998,21.698735,42.298536,12.561108,208.848579,33.555313,17.31822,19.712548,37.400825,3.092902,8.021167,3.745201,9.066719,3.434351,4.99162,14.448625,28.761157,5.920765
528.3786,109.853803,105.396299,91.818497,108.515854,135.736756,142.457221,276.081689,80.42261,12.596606,269.869484,293.000782,302.681733,622.740238,78.057122,180.612408,165.377298,21.657291,42.110423,12.469984,207.357952,33.457121,22.339533,24.677249,21.448808,5.28795,10.105442,6.560925,12.309517,4.420173,5.738917,14.618948,29.26469,9.782844
541.655216,118.011391,111.432701,98.41191,114.464286,153.054063,142.100823,274.090711,78.821267,21.916153,288.441235,303.768404,298.972654,617.855731,76.867919,196.069091,179.361795,21.369186,41.479556,12.225245,204.223254,33.094555,3.495781,8.746127,6.678487,1.451855,7.957158,1.578421,1.696943,0.819032,1.68256,8.027408,13.643189,4.216816
559.753521,123.192284,115.500475,102.914962,117.789049,160.558487,141.054766,269.554871,75.829937,30.101451,296.254657,308.329171,293.882447,610.271496,74.133075,202.2807,183.812972,21.004609,40.696123,11.880813,198.216155,32.341347,0.0,0.0,0.102275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572.399815,125.836326,117.346673,104.842732,118.796662,163.389228,139.736455,264.135859,73.091827,34.796733,299.422971,308.847593,288.161577,600.689721,70.945811,204.255214,185.549735,20.643546,39.837813,11.490402,192.1743,31.404083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
